"country_name","pandem_alt"
"Oman",0.529411764705882
"El Salvador",0.470588235294118
"India",0.470588235294118
"Philippines",0.470588235294118
"Sri Lanka",0.470588235294118
"Uganda",0.470588235294118
"Democratic Republic of the Congo",0.411764705882353
"Serbia",0.411764705882353
"China",0.352941176470588
"Egypt",0.352941176470588
"Eritrea",0.352941176470588
"Ethiopia",0.352941176470588
"Haiti",0.352941176470588
"Hungary",0.352941176470588
"Saudi Arabia",0.352941176470588
"Somalia",0.352941176470588
"Algeria",0.294117647058824
"Bosnia and Herzegovina",0.294117647058824
"Brazil",0.294117647058824
"Cambodia",0.294117647058824
"Ghana",0.294117647058824
"Indonesia",0.294117647058824
"Ivory Coast",0.294117647058824
"Jordan",0.294117647058824
"Kenya",0.294117647058824
"Kuwait",0.294117647058824
"Malaysia",0.294117647058824
"Mali",0.294117647058824
"Mexico",0.294117647058824
"Namibia",0.294117647058824
"Nepal",0.294117647058824
"Nigeria",0.294117647058824
"Poland",0.294117647058824
"Sierra Leone",0.294117647058824
"South Africa",0.294117647058824
"Thailand",0.294117647058824
"Turkey",0.294117647058824
"Venezuela",0.294117647058824
"Zambia",0.294117647058824
"Zimbabwe",0.294117647058824
"Bangladesh",0.235294117647059
"Bulgaria",0.235294117647059
"Burma/Myanmar",0.235294117647059
"Honduras",0.235294117647059
"Iran",0.235294117647059
"Pakistan",0.235294117647059
"Russia",0.235294117647059
"Syria",0.235294117647059
"Tunisia",0.235294117647059
"United States of America",0.235294117647059
"Albania",0.176470588235294
"Armenia",0.176470588235294
"Azerbaijan",0.176470588235294
"Belarus",0.176470588235294
"Bolivia",0.176470588235294
"Burundi",0.176470588235294
"Cameroon",0.176470588235294
"Chad",0.176470588235294
"Guatemala",0.176470588235294
"Iraq",0.176470588235294
"Kazakhstan",0.176470588235294
"Kyrgyzstan",0.176470588235294
"Laos",0.176470588235294
"Lesotho",0.176470588235294
"Liberia",0.176470588235294
"Madagascar",0.176470588235294
"Moldova",0.176470588235294
"Mongolia",0.176470588235294
"Morocco",0.176470588235294
"Nicaragua",0.176470588235294
"Niger",0.176470588235294
"Panama",0.176470588235294
"Qatar",0.176470588235294
"Republic of the Congo",0.176470588235294
"Rwanda",0.176470588235294
"Senegal",0.176470588235294
"Slovakia",0.176470588235294
"Sudan",0.176470588235294
"Tajikistan",0.176470588235294
"Tanzania",0.176470588235294
"Ukraine",0.176470588235294
"Uzbekistan",0.176470588235294
"Burkina Faso",0.117647058823529
"Costa Rica",0.117647058823529
"Cuba",0.117647058823529
"Greece",0.117647058823529
"Jamaica",0.117647058823529
"Malawi",0.117647058823529
"Mauritania",0.117647058823529
"Papua New Guinea",0.117647058823529
"Paraguay",0.117647058823529
"Peru",0.117647058823529
"Slovenia",0.117647058823529
"Uruguay",0.117647058823529
"Angola",0.0588235294117647
"Argentina",0.0588235294117647
"Botswana",0.0588235294117647
"Colombia",0.0588235294117647
"Czech Republic",0.0588235294117647
"Ecuador",0.0588235294117647
"France",0.0588235294117647
"Guinea",0.0588235294117647
"Italy",0.0588235294117647
"Lebanon",0.0588235294117647
"North Macedonia",0.0588235294117647
"Romania",0.0588235294117647
"Spain",0.0588235294117647
"Taiwan",0.0588235294117647
"Togo",0.0588235294117647
"United Arab Emirates",0.0588235294117647
"United Kingdom",0.0588235294117647
"Yemen",0.0588235294117647
"Afghanistan",0
"Australia",0
"Austria",0
"Belgium",0
"Benin",0
"Canada",0
"Central African Republic",0
"Chile",0
"Croatia",0
"Denmark",0
"Dominican Republic",0
"Finland",0
"Gabon",0
"Georgia",0
"Germany",0
"Ireland",0
"Israel",0
"Japan",0
"Libya",0
"Lithuania",0
"Mozambique",0
"Netherlands",0
"New Zealand",0
"North Korea",0
"Norway",0
"Portugal",0
"Singapore",0
"South Korea",0
"South Sudan",0
"Sweden",0
"Switzerland",0
"The Gambia",0
"Turkmenistan",0
"Vietnam",0
